Taxon,ApE1D1,ApE1D2,ApE1D3,ApE2D1,ApE2D2,ApE2D3,ApE3D1,ApE3D2,ApE3D3,ApE4D1,ApE4D2,ApE4D3,JuE1D1,JuE1D2,JuE1D3,JuE2D1,JuE2D2,JuE2D3,JuE3D1,JuE3D2,JuE3D3,JuE4D1,JuE4D2,JuE4D3,ApE1W1,ApE1W2,ApE1W3,ApE2W1,ApE2W2,ApE2W3,ApE3W1,ApE3W2,ApE3W3,ApE4W1,ApE4W2,ApE4W3,JuE1W1,JuE1W2,JuE1W3,JuE2W1,JuE2W2,JuE2W3,JuE3W1,JuE3W2,JuE3W3,JuE4W1,JuE4W2,JuE4W3,AuE1D1,AuE1D2,AuE1D3,AuE2D1,AuE2D2,AuE2D3,AuE3D1,AuE3D2,AuE3D3,AuE4D1,AuE4D2,AuE4D3,AuE1W1,AuE1W2,AuE1W3,AuE2W1,AuE2W2,AuE2W3,AuE3W1,AuE3W2,AuE3W3,AuE4W1,AuE4W2,AuE4W3
37,6.40679E-08,5.21734E-08,3.94341E-08,0,0,4.94846E-08,0,1.2721E-08,3.7565E-08,0,1.77511E-08,0,3.35591E-08,0,0,0,0,0,1.85827E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.43034E-08,1.83719E-07,0,0,0,0,0,0,0,0,0,0,2.48197E-07,2.77826E-08,8.87702E-08,5.29849E-08,1.53391E-08,0,0,0,1.42278E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.36804E-08,0,0,2.45565E-08
38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.87121E-08,7.03097E-08,9.72547E-08,0,0,0,0,0,0,0,0,0,1.05897E-07,5.43534E-08,2.66909E-08,0,0,1.67294E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.69989E-08,3.14191E-08,0,8.29695E-08,0
39,0,0,0,0,0,0,0,8.12505E-08,0,0,0,0,0,0,0,0,0,0,0,8.58484E-08,7.19126E-08,0,0,0,1.73514E-08,1.43183E-08,1.43292E-08,0,0,0,8.50981E-08,8.42157E-08,6.17109E-08,0,1.20113E-08,2.39267E-08,3.42514E-09,2.94988E-08,0,0,0,0,3.35974E-08,1.0918E-07,9.02926E-08,3.06948E-08,1.15962E-07,2.47013E-08,0,0,0,0,0,0,0,0,0,0,0,0,4.80624E-08,1.15112E-07,7.43081E-09,0,0,0,2.03646E-08,0,1.32119E-08,2.42129E-08,0,0
40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.16249E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,2.24936E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.27857E-08,0,6.94575E-08,0,0,0,0,0,0,0,0,0
41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07619E-07,5.421E-08,5.77367E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.34293E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,0,0,0,3.97675E-08,1.24801E-07,0,0,0,0,0,6.33281E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.82322E-08,0,0,0,0,0,0,0,0,0,0,0,0,0
44,0,0,0,0,3.4982E-08,0,0,0,0,3.97191E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,3.60299E-08,0,0,0,0,0,0,3.48119E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.19636E-08,0,0,1.14754E-07,0,0,0,0,0,0,0,0,0,0,0,7.11526E-08,0
45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.51945E-08,6.07602E-08,1.14829E-07,0,0,0,0,0,0,0,0,0,6.70802E-08,0,1.37589E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.40355E-08,0,0,0,0,0,0,0
46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.51494E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,0,0,0,0,0,0,3.06899E-08,0,0,0,1.16429E-07,3.28585E-08,2.1678E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.41617E-08,0,0,0,0,0,0,0,0,0,0,0,0,2.16187E-08,0,0
48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.47464E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.72346E-07,6.68542E-08,0,0,0
50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.7302E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.67579E-08,0,1.88838E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,0,3.99707E-08,1.51055E-08,0,0,0,0,0,0,0,0,0,0,7.48121E-08,2.9074E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.04444E-08,1.76272E-08,8.68213E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
